output,source_idx,source_file,steps,duration_sec,xyz_min_mm,xyz_max_mm,speed_mean_mm_s,speed_max_mm_s,xyz_err_mean_mm,xyz_err_p95_mm,xyz_err_max_mm
card_pos_000.npy,0,episode_0.hdf5,479,23.95,"[198.65, -5.377, 168.013]","[390.322, 32.209, 229.236]",12.528499550458605,33.376793408313326,0.11414369347704907,0.33716737380120737,0.44831096798876957
card_pos_001.npy,1,episode_1.hdf5,484,24.2,"[191.103, -5.194, 167.934]","[395.387, 35.527, 240.221]",15.007593553460529,50.646501306341406,0.1402404083757812,0.35599062691362315,0.3859660111356515
card_pos_002.npy,2,episode_3.hdf5,486,24.3,"[195.643, -5.134, 165.698]","[390.299, 34.485, 230.509]",14.675414106613344,56.494590835559535,0.14265110673150078,0.34722127858667257,0.5098870887003468
card_pos_003.npy,3,episode_4.hdf5,483,24.15,"[201.551, -5.092, 165.611]","[390.409, 33.025, 229.106]",14.09748894391602,52.708892033026935,0.11515024011890726,0.31307414507885567,0.371070765536631
card_pos_004.npy,4,episode_6.hdf5,432,21.6,"[199.12, -5.151, 165.973]","[390.763, 32.43, 229.138]",14.880706959985133,48.660566557646796,0.18634739268045908,0.5403803507233699,0.6270619156670495
card_pos_005.npy,5,episode_7.hdf5,424,21.2,"[200.08, -5.234, 165.525]","[391.853, 33.501, 229.07]",14.794111400639306,44.95902396304295,0.17398070086505713,0.4484301568403205,0.5374120875652499
card_pos_006.npy,6,episode_8.hdf5,474,23.7,"[185.426, -5.015, 165.745]","[390.539, 35.156, 228.986]",14.077468413623025,43.65966200863682,0.09932814651946965,0.18410665169985413,0.26832595482462773
card_pos_007.npy,7,episode_9.hdf5,441,22.05,"[189.832, -5.177, 165.621]","[390.289, 31.057, 229.214]",14.481155398878965,40.082635355846605,0.16153016663789116,0.36532921342285685,0.46069736244527
card_pos_008.npy,8,episode_10.hdf5,458,22.9,"[188.192, -4.905, 165.61]","[390.032, 34.614, 229.013]",14.686587199892031,43.7195348580723,0.11585654768196196,0.26780868492444093,0.3388745223245094
card_pos_009.npy,9,episode_11.hdf5,569,28.45,"[181.624, -5.329, 165.644]","[391.286, 31.769, 229.009]",12.11464833517351,42.59308960162818,0.1325241685540386,0.3250189756442222,0.5264628848395236
card_pos_010.npy,10,episode_12.hdf5,431,21.55,"[195.099, -5.052, 165.063]","[390.876, 29.534, 229.041]",14.717354349279605,46.879927294520556,0.17815688969121882,0.47071422378430944,0.5479825161178695
card_pos_011.npy,11,episode_13.hdf5,426,21.3,"[202.431, -5.282, 165.69]","[391.462, 30.92, 228.823]",14.55609568404097,36.8756661231166,0.1417002256024823,0.31740927322368545,0.3852904105980232
card_pos_012.npy,12,episode_14.hdf5,470,23.5,"[181.295, -5.206, 164.78]","[390.33, 31.434, 229.269]",14.953122415893601,40.38090564095603,0.13871566133478222,0.3526799659821648,0.3825768303211494
card_pos_013.npy,13,episode_15.hdf5,502,25.1,"[193.602, -4.981, 164.914]","[391.477, 29.185, 229.016]",12.981887080871603,62.667350524880625,0.1554645451395604,0.3326057522283201,0.35597640007875203
card_pos_014.npy,14,episode_16.hdf5,467,23.35,"[195.919, -5.111, 165.306]","[391.961, 33.382, 229.177]",14.793174114044785,53.97600779559455,0.1117577984835222,0.2648899294741433,0.3788183914691814
card_pos_015.npy,15,episode_17.hdf5,434,21.7,"[206.067, -4.907, 164.336]","[391.372, 33.482, 228.953]",15.598598372717262,69.52083981611722,0.13671450734393487,0.30267490509871825,0.37773528685495583
card_pos_016.npy,16,episode_18.hdf5,425,21.25,"[178.829, -5.13, 165.539]","[390.709, 27.773, 229.233]",16.055621778045857,48.665530153389106,0.09222473713617772,0.17970436131208747,0.22335389751654983
card_pos_017.npy,17,episode_19.hdf5,468,23.4,"[195.763, -5.211, 165.824]","[391.24, 32.189, 229.295]",14.061047887758003,47.602121279762144,0.1959123433787563,0.38923346775943934,0.4352452372681433
card_pos_018.npy,18,episode_20.hdf5,386,19.3,"[190.2, -5.144, 165.859]","[390.637, 33.476, 229.228]",17.677716661308736,43.453575409584325,0.1340763164614122,0.33102776480717006,0.4117103021597824
card_pos_019.npy,19,episode_21.hdf5,420,21.0,"[173.602, -5.103, 166.524]","[392.604, 43.964, 229.112]",17.533391687977357,49.24377618034051,0.1573735370644832,0.32381909244886525,0.48634546222714375
card_pos_020.npy,20,episode_23.hdf5,501,25.05,"[191.654, -7.387, 165.613]","[390.469, 30.474, 228.864]",14.803732733813177,62.800726617050344,0.17680626850790157,0.35038807446049147,0.47552539931972243
card_pos_021.npy,21,episode_24.hdf5,402,20.1,"[196.364, -12.753, 163.207]","[390.302, 30.455, 229.187]",17.36310089946522,59.75887194817973,0.13505837175061683,0.3379881702255364,0.4168634491365058
card_pos_022.npy,22,episode_25.hdf5,407,20.35,"[172.457, -5.281, 165.267]","[390.38, 38.683, 229.119]",17.40405116824004,72.09509928973885,0.1269414927339925,0.3156921804203047,0.3847287753982551
card_pos_023.npy,23,episode_26.hdf5,467,23.35,"[172.573, -5.398, 165.763]","[395.271, 36.789, 229.198]",15.643185336401347,54.1334430676627,0.13180867370945865,0.2475902055037684,0.3036628993867861
card_pos_024.npy,24,episode_27.hdf5,461,23.05,"[173.348, -5.148, 165.16]","[393.157, 32.37, 229.211]",14.59025717026448,46.00454336838645,0.14362619564407414,0.26905315500275734,0.3067145300980107
card_pos_025.npy,25,episode_28.hdf5,452,22.6,"[175.628, -5.189, 165.665]","[393.936, 34.015, 229.105]",15.420272403847566,52.38136509995134,0.12196640664069891,0.2756037447981562,0.34578015746726676
card_pos_026.npy,26,episode_29.hdf5,438,21.9,"[176.415, -5.302, 165.887]","[394.404, 34.753, 229.077]",15.924539345067215,39.62224488439829,0.09625317349615936,0.2434778947668246,0.303580773902248
card_pos_027.npy,27,episode_30.hdf5,456,22.8,"[175.815, -4.89, 165.589]","[392.835, 29.082, 228.596]",15.39718300492469,51.660168980575065,0.15525443894622315,0.3481258647411286,0.42396613452941045
card_pos_028.npy,28,episode_31.hdf5,420,21.0,"[175.361, -5.185, 164.677]","[394.295, 29.463, 228.871]",17.710331334586556,66.47831185228618,0.18723769782009853,0.44312144146652954,0.4868600085950561
card_pos_029.npy,29,episode_33.hdf5,396,19.8,"[174.878, -5.185, 166.445]","[390.303, 29.149, 229.4]",18.465434443631732,83.53801745919537,0.12962282198423253,0.4219448395655836,0.579159924105792
card_pos_030.npy,30,episode_34.hdf5,423,21.15,"[175.61, -5.266, 167.194]","[392.952, 32.869, 229.092]",15.825167730225715,48.531860266187785,0.13771779573814,0.30735750007472173,0.39189153572492347
card_pos_031.npy,31,episode_35.hdf5,433,21.65,"[174.123, -5.466, 166.46]","[391.202, 31.236, 229.161]",16.15608820277814,46.33104653813821,0.1130152912873562,0.22450671411719764,0.26400494302678423
card_pos_032.npy,32,episode_36.hdf5,414,20.7,"[174.368, -4.986, 165.712]","[394.108, 29.984, 229.515]",17.436096493705556,58.95474468295321,0.13942299112072906,0.27711546747190535,0.322266355215321
card_pos_033.npy,33,episode_37.hdf5,387,19.35,"[177.874, -5.357, 166.192]","[390.306, 28.859, 229.346]",17.864221799246273,82.07718858302181,0.16826531051000054,0.44076216044903627,0.5540139519641925
